"","region_1","zonation"
"ATP5B",1.74350494799819,0.0886116570310157
"NACA",1.70517494391078,0.00766701012812858
"HSD17B6",2.00702045351736,0.296922883876598
"RDH16",2.10450181536743,-0.00751178400239494
"LRP1",2.01253809612393,0.0380232995588358
"SHMT2",1.18995541386666,-0.070088607004198
"OS9",1.24966264444748,0.0516372017818122
"DCN",1.11879547393487,0.000690161883685841
"HAL",2.01766007375424,-2.76466669166622
"SLC25A3",1.23895509575145,0.000565903706577547
"PAH",1.95426253435839,0.0590076499663963
"HSP90B1",1.93090704219611,-0.0307298599796665
"ALDH2",2.75848750728775,0.139437184652761
"ERP29",1.27468624012505,-0.00312214212234829
"RPL6",2.2435751465258,0.0191204671515248
"SDS",3.46940445309368,-1.17622298044262
"PEBP1",2.9467373093377,0.171173721377609
"RPLP0",2.6643454979296,0.0668215112196282
"COX6A1",1.54232559033416,0.00823893050127987
"ACADS",1.74534155775433,0
"HPD",2.57994074931372,0.240124010646699
"ARL6IP4",1.52530809151338,-0.0992587455587029
"SCARB1",1.58576048274913,0
"UBC",2.21639008786567,-0.0778193954469441
"PXMP2",1.5596075670717,0.162610050587195
"CRYL1",0.992768713833066,0.16455232315973
"RPL21",2.36901257548442,0.000104587032504352
"TPT1",3.70506045378573,0.00486876203395683
"CPB2",2.03195392342375,-0.00479686250863979
"ITM2B",2.04622625360189,0.0392575834061278
"F10",1.22350972877005,0.252941373779234
"LAMP1",1.42400257827372,-0.00138305623221952
"ANG",3.35293052504998,-0.013752376563155
"NDRG2",1.56216855588685,-0.0222070071607607
"PCK2",1.82006701706368,0.0015298386228267
"DCAF11",0.913180646800894,-0.0461819539048542
"PSME1",1.11879547393487,0.0232792077808862
"CIDEB",0.866741953731258,0.321679290504749
"RPS29",3.12281930052738,-6.20459371809081e-05
"RPL36AL",1.50359064530589,0
"MTHFD1",1.41513163933382,0.0344490963392688
"GPX2",1.32925071147966,1.15250659901816
"SRSF5",0.944173972889129,0.0147334063623521
"SLC10A1",1.11292833564964,0.00162187330568131
"ALDH6A1",1.29354034870196,0.0105221221037537
"FOS",2.17634826345957,-0.0243599840263857
"NDUFB1",1.64898951590413,0.0168945895494482
"SERPINA10",0.996479804243998,-0.00315072532680935
"SERPINA6",2.33658466799489,-0.054713131992422
"SERPINA1",6.48558671502416,-0.97066629789546
"SERPINA11",2.01968991647498,0.069409256707322
"SERPINA4",1.5220019420433,-0.0359311204400352
"SERPINA5",1.53561069926856,-0.643909659980436
"SLC25A47",2.03948916522428,0.136592138150149
