Gene,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,P value,Q value (Benjamini-Hochberg corrected P value),CV,MZ,PV,Zone
Smim22,0.115149871,0.124040842,0.144987673,0.155680502,0.191225614,0.226652748,0.235037368,0.25951918,0.289065553,1.75E-257,1.08E-255,0.119595357,0.179636634,0.261207367,PV
Cbs,2.286397629,2.431829668,2.4509694,2.610157949,2.697562235,2.740931302,2.874833075,2.951576113,3.018328581,6.13E-257,3.77E-255,2.359113649,2.624905222,2.948245923,PV
Apom,3.793495237,4.182725433,4.375024646,4.63533445,4.748776072,4.725871089,4.666181465,4.692917629,4.661666046,7.02E-257,4.30E-255,3.988110335,4.621251564,4.67358838,PV
Papss2,1.131536996,1.091769029,1.062461456,0.973276014,0.937142804,0.880599174,0.88882934,0.783751298,0.797908115,1.02E-256,6.27E-255,1.111653013,0.963369862,0.823496251,CV
2200002D01Rik,0.628644481,0.557011401,0.484221936,0.484895761,0.447811283,0.395625896,0.391992293,0.363757947,0.390651274,1.80E-256,1.10E-254,0.592827941,0.453138719,0.382133838,CV
AI182371,3.994214218,4.366226888,4.577084718,4.635854468,4.878520341,4.858653022,4.954285003,4.963482925,4.979509435,1.19E-254,7.19E-253,4.180220553,4.737528137,4.965759121,PV
C2cd2,0.881539678,0.872551964,0.771954275,0.768509985,0.715353222,0.646070757,0.630481031,0.600040062,0.574042588,3.08E-252,1.86E-250,0.877045821,0.72547206,0.601521227,CV
Grina,2.164404984,1.986840701,1.853794308,1.775911661,1.672720579,1.665961138,1.621250937,1.648398086,1.615227099,9.14E-249,5.50E-247,2.075622843,1.742096922,1.628292041,CV
Ugdh,1.449492205,1.379016658,1.25819615,1.189135517,1.131508124,1.119581015,1.102446991,1.060638364,1.012831992,1.19E-247,7.15E-246,1.414254432,1.174605202,1.058639116,CV
Tiam2,0.113136511,0.120218718,0.134712354,0.164690633,0.193375638,0.208485429,0.234747164,0.237849338,0.249939529,5.36E-246,3.20E-244,0.116677615,0.175316014,0.240845344,PV
Mdh1,5.349340261,5.390346556,5.357140549,5.481465002,5.599875559,5.801392194,5.941941238,6.136851449,6.215347466,1.01E-245,6.01E-244,5.369843409,5.559968326,6.098046718,PV
Cyp2d40,0.962907329,0.892687248,0.825602487,0.766750085,0.710222285,0.671118216,0.654689603,0.644445647,0.604936269,1.98E-245,1.18E-243,0.927797289,0.743423268,0.634690506,CV
D230025D16Rik,0.497763527,0.478327755,0.44255769,0.413025529,0.384472047,0.370193291,0.350367529,0.333265529,0.322175888,1.65E-243,9.78E-242,0.488045641,0.402562139,0.335269649,CV
Atp5g1,1.940891977,2.145993542,2.193232443,2.333623305,2.426173402,2.49768087,2.648540142,2.628439091,2.635356695,2.13E-243,1.26E-241,2.04344276,2.362677505,2.637445309,PV
Slc10a1,8.763086416,8.620028334,8.330368664,8.212941915,7.916163442,7.699123388,7.71487042,7.654392316,7.776287994,3.07E-241,1.81E-239,8.691557375,8.039649352,7.715183577,CV
Hsp90b1,8.064580748,8.322933849,8.395607557,8.717897088,8.752965863,8.941047804,9.125855194,9.250267496,9.407294214,2.40E-240,1.41E-238,8.193757299,8.701879578,9.261138968,PV
Tmbim6,8.913449217,8.698230652,8.763088875,8.470911425,8.30509494,8.029200121,7.920445847,7.823687011,7.709364104,7.16E-237,4.20E-235,8.805839935,8.39207384,7.817832321,CV
Sgk2,0.724201539,0.67746031,0.687718111,0.60252863,0.55730755,0.529760849,0.492469071,0.468386204,0.444016555,3.25E-236,1.90E-234,0.700830925,0.594328785,0.46829061,CV
Saa4,3.885393129,3.706766853,3.458754125,3.394352396,3.283471396,3.21719324,3.138816071,3.155422996,3.159639357,9.33E-234,5.43E-232,3.796079991,3.338442789,3.151292808,CV
F5,2.613275258,2.408755591,2.429138781,2.27978658,2.128454681,2.076043921,2.065925085,1.997005525,1.973283743,1.61E-233,9.33E-232,2.511015425,2.228355991,2.012071451,CV
Gstp1,0.635404295,0.753074727,0.834898229,0.913120094,0.954677147,0.981053286,1.001914941,0.996577368,1.030952415,3.97E-233,2.30E-231,0.694239511,0.920937189,1.009814908,PV
Slc10a2,0.354396532,0.284814906,0.23036121,0.220663078,0.224782519,0.196089817,0.177815872,0.174751859,0.167055252,1.75E-231,1.01E-229,0.319605719,0.217974156,0.173207661,CV
Dhcr24,3.672826803,3.578309117,3.550819757,3.534257929,3.409119654,3.290873929,3.148112598,3.022923868,2.910792118,2.26E-231,1.30E-229,3.62556796,3.446267817,3.027276195,CV
Atp5k,6.14216068,6.546285301,6.738352055,6.870134015,7.220030996,7.198248488,7.242361167,7.254994598,7.301765606,3.51E-231,2.02E-229,6.344222991,7.006691389,7.26637379,PV
Gck,0.56740845,0.582313097,0.567513306,0.580099038,0.502993876,0.484436669,0.433922588,0.390096604,0.359075166,2.35E-230,1.35E-228,0.574860774,0.533760722,0.394364786,CV
Ttc38,0.986349414,0.949251961,0.941297774,0.825884078,0.776305445,0.719891928,0.692017453,0.657721763,0.647521664,6.40E-228,3.65E-226,0.967800688,0.815844806,0.665753627,CV
Acat1,2.709815235,2.563637717,2.434175551,2.404059656,2.386584626,2.272367583,2.177933729,2.119909965,2.069320624,1.05E-225,6.00E-224,2.636726476,2.374296854,2.122388106,CV
Fetub,6.572105546,6.497634642,6.561816753,6.243549345,6.116812778,5.970218136,5.813491258,5.759178837,5.562505957,6.52E-225,3.70E-223,6.534870094,6.223099253,5.711725351,CV
Slc27a2,5.649370266,5.541576978,5.255496599,5.171030762,4.942385138,4.919415017,4.853967416,4.775502208,4.785142457,3.46E-224,1.96E-222,5.595473622,5.072081879,4.804870694,CV
Apoc4,34.28737707,34.24062106,34.09125259,34.65519242,32.91060516,32.29977,31.3659575,30.76445544,29.9636536,6.09E-223,3.44E-221,34.26399907,33.48920504,30.69802218,CV
Aass,1.92152855,2.005204773,2.072298667,2.16914603,2.161481715,2.275389787,2.440302937,2.387259578,2.505052512,1.71E-222,9.61E-221,1.963366662,2.16957905,2.444205009,PV
Slc22a23,0.642518897,0.598946312,0.553088831,0.494475387,0.476619196,0.444384202,0.425942327,0.421853415,0.387781793,9.87E-222,5.53E-220,0.620732605,0.492141904,0.411859178,CV
Arsg,0.078585234,0.093036477,0.114906453,0.138083813,0.158717686,0.185585911,0.193514305,0.206087955,0.21365306,2.80E-220,1.56E-218,0.085810856,0.149323466,0.20441844,PV
Pfkfb1,0.351387857,0.304394011,0.293080544,0.249208239,0.247829123,0.219271374,0.204716019,0.18263291,0.167921685,6.94E-220,3.86E-218,0.327890934,0.25234732,0.185090205,CV
Cela1,1.172077539,1.129657486,1.083412446,1.090488401,1.030190728,0.956224869,0.880270003,0.822112544,0.741566054,1.64E-219,9.09E-218,1.150867513,1.040079111,0.814649534,CV
Slco2a1,0.650648367,0.709578554,0.798251155,0.838372184,0.859782406,0.914646994,0.928759757,0.988831721,0.986766484,4.02E-219,2.23E-217,0.680113461,0.852763185,0.968119321,PV
Cox7b,3.848099081,3.958023787,3.993907427,4.245105829,4.400023241,4.425823427,4.582075176,4.577723144,4.651691206,4.66E-218,2.58E-216,3.903061434,4.266214981,4.603829842,PV
Afm,4.596642526,4.731847341,4.824681632,5.003583707,5.235608012,5.243688138,5.327811734,5.39795377,5.382204861,1.87E-216,1.03E-214,4.664244934,5.076890372,5.369323455,PV
Pcsk6,0.884359571,0.765778045,0.706093181,0.663623636,0.605307002,0.606860504,0.590530073,0.582080666,0.578276141,8.32E-216,4.56E-214,0.825068808,0.645471081,0.58362896,CV
Dnaja1,2.268487988,2.130145208,2.067877228,1.954755482,1.984402972,1.821623769,1.809917099,1.769988997,1.760615438,5.29E-215,2.89E-213,2.199316598,1.957164863,1.780173845,CV
Abcg8,0.53057729,0.504419794,0.630426805,0.472250537,0.444936746,0.417278918,0.391139471,0.350198924,0.341208131,1.56E-214,8.50E-213,0.517498542,0.491223252,0.360848842,CV
Srd5a1,0.655437768,0.686612406,0.716845398,0.761498373,0.806242214,0.846081126,0.880085562,0.952362542,1.044758785,1.93E-214,1.05E-212,0.671025087,0.782666778,0.959068963,PV
Hjurp,0.655854065,0.602273318,0.586541416,0.486092019,0.468671918,0.46368546,0.452075346,0.425256802,0.437082115,8.82E-214,4.78E-212,0.629063692,0.501247703,0.438138088,CV
Slc17a2,1.298474867,1.35414041,1.39177332,1.458075243,1.519050153,1.561245092,1.620355611,1.717848948,1.741032157,4.48E-212,2.42E-210,1.326307639,1.482535952,1.693078905,PV
Sephs2,10.60658557,10.88898801,11.20154371,11.38413802,11.70098012,11.84105187,11.85222523,12.05809531,11.97513335,8.93E-212,4.81E-210,10.74778679,11.53192843,11.96181796,PV
Tnfaip8l1,0.369522718,0.365294151,0.35458602,0.338324674,0.309222132,0.273902094,0.258399725,0.221633512,0.192540223,1.10E-211,5.89E-210,0.367408435,0.31900873,0.224191153,CV
Pemt,4.706565687,4.781006277,4.88548818,4.739713035,4.614316096,4.493481257,4.29841425,4.181935985,4.013634184,1.57E-209,8.45E-208,4.743785982,4.683249642,4.164661473,CV
Cyp7b1,7.891393827,7.587023946,7.256065637,6.982614463,6.815295131,6.905056163,6.977930327,7.13806705,7.214118454,3.05E-209,1.63E-207,7.739208887,6.989757849,7.11003861,CV
Chchd10,14.06953708,13.53047384,13.01634947,12.89154376,12.62688458,12.69321056,12.60049554,12.51673983,12.43479967,3.08E-209,1.64E-207,13.80000546,12.80699709,12.51734501,CV
Hsd17b4,2.574128071,2.43376215,2.370419511,2.269692586,2.146349114,2.119461844,2.08408469,2.02037299,1.971846806,1.06E-208,5.67E-207,2.503945111,2.226480764,2.025434829,CV
Rnf186,0.185305427,0.16966125,0.156359131,0.137820856,0.127043872,0.096427007,0.093378936,0.080142791,0.076858614,3.16E-207,1.68E-205,0.177483339,0.129412717,0.083460114,CV
Idh1,4.578727208,4.419955521,4.280973582,4.197249242,4.077376581,3.947002126,3.866898698,3.819906292,3.720035253,3.07E-206,1.62E-204,4.499341365,4.125650383,3.802280081,CV
Eci1,1.76249371,1.610906172,1.523887418,1.469470597,1.43444065,1.357075588,1.368731091,1.32812084,1.294511937,5.60E-206,2.96E-204,1.686699941,1.446218563,1.330454623,CV
Ndufa1,3.325786048,3.444246694,3.592401626,3.709730069,3.845084094,4.014113512,4.011787513,4.149843756,4.145057568,3.08E-205,1.62E-203,3.385016371,3.790332325,4.102229612,PV
Atp5g3,7.961499614,8.126051131,8.447437788,8.445702694,8.675332774,8.893733344,8.9886799,9.019487924,9.030705261,6.88E-205,3.61E-203,8.043775373,8.61555165,9.012957695,PV
St6gal1,0.25388968,0.279916901,0.326588779,0.375263348,0.395637237,0.427438695,0.428516662,0.448811844,0.46808879,7.31E-204,3.82E-202,0.266903291,0.381232015,0.448472432,PV
Agmo,0.782876744,0.74910202,0.712386669,0.666620889,0.619490767,0.584790731,0.548546445,0.530333261,0.551379319,2.25E-203,1.17E-201,0.765989382,0.645822264,0.543419675,CV
Ndufb9,5.340091775,5.623482662,5.787412205,5.965392994,6.052047483,6.226163166,6.279088447,6.209340505,6.241609111,1.43E-201,7.39E-200,5.481787219,6.007753962,6.243346021,PV
Car5a,0.453775242,0.401293304,0.367520109,0.362417933,0.333361731,0.299844181,0.275583238,0.264194322,0.261000433,1.04E-200,5.36E-199,0.427534273,0.340785989,0.266925998,CV
Sqor,0.988578784,1.009701756,1.074896798,1.108404974,1.190274003,1.259122706,1.323107882,1.310346679,1.332007671,2.09E-200,1.08E-198,0.99914027,1.15817462,1.321820744,PV
Retsat,2.923596131,2.961393351,3.05516005,3.181738829,3.279257624,3.423196112,3.494379474,3.510890464,3.594501565,2.48E-200,1.28E-198,2.942494741,3.234838154,3.533257168,PV
Hsd17b11,2.64192776,2.270990074,2.151197825,2.094920861,2.025217127,1.988233158,1.940996921,1.874778431,1.8082353,3.13E-200,1.61E-198,2.456458917,2.064892243,1.874670217,CV
Cox7a2,6.78325036,7.13954778,7.47480076,7.612988966,7.691987527,7.805136251,7.960322178,8.027370047,8.142792322,1.24E-199,6.36E-198,6.96139907,7.646228376,8.043494849,PV
Fdx1,2.26616201,2.155863688,2.33808109,1.99723554,1.976398373,1.881049504,1.821615665,1.78211455,1.75994064,2.97E-198,1.52E-196,2.211012849,2.048191127,1.787890285,CV
Pebp1,1.380398166,1.266057335,1.209675102,1.141781017,1.098973594,1.034677082,1.051810344,1.028886242,1.005077914,9.10E-197,4.61E-195,1.323227751,1.121276699,1.0285915,CV
Arpp19,1.976572401,1.857611528,1.768984236,1.666206867,1.563775608,1.586668145,1.536004112,1.492057561,1.486830113,2.10E-196,1.06E-194,1.917091965,1.646408714,1.504963929,CV
Mfsd4b1,0.605700756,0.561091351,0.526655939,0.517861702,0.458369934,0.424540823,0.4155632,0.415018508,0.401639413,2.35E-196,1.18E-194,0.583396054,0.4818571,0.410740374,CV
mt-Cytb,32.35524518,34.02030414,34.80215573,35.34515969,35.59198323,35.96346607,35.72800927,35.56250637,35.30318556,2.46E-194,1.23E-192,33.18777466,35.42569118,35.53123373,PV
Slc4a4,0.495047504,0.455557164,0.41454565,0.387008312,0.353579619,0.343182383,0.315910985,0.315622715,0.310729704,1.54E-193,7.71E-192,0.475302334,0.374578991,0.314087801,CV
Atp5e,10.39653344,10.94785127,11.09036709,11.46513204,11.71717693,11.78897122,11.9335282,11.96660559,11.71989757,1.08E-192,5.36E-191,10.67219236,11.51541182,11.87334379,PV
Hrg,10.49987476,10.32303294,10.21217145,9.753555473,9.712158096,9.508197529,9.504579609,9.492789128,9.397251685,1.51E-191,7.53E-190,10.41145385,9.796520637,9.464873474,CV
Pid1,1.138288841,1.103786016,1.075110874,1.013736084,0.995919918,0.915889771,0.887031132,0.820101966,0.791899885,1.86E-191,9.21E-190,1.121037429,1.000164162,0.833010994,CV
Ugt2a3,3.386722454,3.272073612,3.088664832,2.889895368,2.91881027,2.791748764,2.825765946,2.851328765,2.896208503,5.57E-191,2.76E-189,3.329398033,2.922279809,2.857767738,CV
Gstm4,0.61459259,0.585987177,0.550021062,0.515030716,0.511343157,0.445041521,0.419726088,0.423100597,0.389629027,3.88E-189,1.92E-187,0.600289884,0.505359114,0.410818571,CV
Fam89a,0.125166307,0.110441996,0.097553079,0.085948589,0.071173732,0.062132192,0.054829497,0.047184662,0.040623599,8.25E-189,4.06E-187,0.117804152,0.079201898,0.047545919,CV
Lonp2,2.752537375,2.657796484,2.666120292,2.420938232,2.404695742,2.325940579,2.286538382,2.209678889,2.217333057,2.17E-188,1.06E-186,2.70516693,2.454423711,2.237850109,CV
Uqcr10,5.067007538,5.435885002,5.530012068,5.706611837,5.89471924,6.019134636,6.059717802,6.118527419,6.109346246,2.74E-188,1.34E-186,5.25144627,5.787619445,6.095863822,PV
Hacd3,0.998849375,0.928815013,0.870076169,0.828171768,0.883537829,0.753854989,0.725892993,0.702134668,0.701647106,1.29E-185,6.26E-184,0.963832194,0.833910189,0.709891589,CV
Cox6c,9.755698487,10.15134775,10.26984956,10.60378807,10.83451465,10.93253452,11.01571901,11.19995186,11.21098924,2.17E-184,1.05E-182,9.953523119,10.6601717,11.14222004,PV
Cib2,0.049408364,0.031643895,0.021143398,0.013390442,0.011910833,0.010045008,0.007691505,0.009186421,0.005363888,4.20E-184,2.03E-182,0.04052613,0.01412242,0.007413938,CV
D630039A03Rik,0.088320927,0.070955375,0.054079713,0.045356781,0.039492301,0.032585024,0.026910634,0.028628083,0.019496908,1.53E-183,7.36E-182,0.079638151,0.042878455,0.025011875,CV
Cyp4f14,2.98653589,2.861784301,2.775706885,2.76580619,2.638451179,2.596452583,2.483213339,2.486823422,2.370057256,2.08E-183,1.00E-181,2.924160096,2.694104209,2.446698006,CV
Mlxipl,1.490349438,1.395109073,1.321172386,1.311176104,1.290704336,1.153917082,1.109747313,1.104054618,1.084616984,3.46E-183,1.66E-181,1.442729256,1.269242477,1.099472972,CV
Hsd17b12,2.421253572,2.363041445,2.145117925,2.036520193,1.949330133,1.910248803,1.941873451,1.9129196,1.902275467,1.89E-182,9.05E-181,2.392147509,2.010304264,1.919022839,CV
Hmgcs1,2.727375196,2.597547621,2.476503251,2.352473073,2.246818287,2.113395861,2.049574814,2.054294984,2.03588445,2.03E-180,9.70E-179,2.662461409,2.297297618,2.046584749,CV
Rdh16f2,1.228733459,1.483673385,1.643970657,1.782074711,1.878396564,1.759664647,1.64669129,1.588217459,1.53744366,4.31E-180,2.06E-178,1.356203422,1.766026645,1.590784136,MZ
Aldh4a1,2.431635306,2.287608742,2.097811345,2.067892917,2.039099053,1.98986222,1.97103044,1.921188059,1.943553511,7.48E-180,3.56E-178,2.359622024,2.048666384,1.945257337,CV
Pctp,0.839161148,0.774940176,0.72086647,0.700787808,0.675950242,0.651710729,0.599626345,0.585727974,0.555109356,2.26E-179,1.07E-177,0.807050662,0.687328812,0.580154558,CV
Slc47a1,0.802324096,0.746585346,0.723867189,0.655323013,0.620590489,0.563504307,0.564768631,0.576935073,0.564327642,1.52E-178,7.21E-177,0.774454721,0.64082125,0.568677115,CV
Syt1,0.173916699,0.152961354,0.116918322,0.120007809,0.09908416,0.085123854,0.080921199,0.085129067,0.075224781,9.83E-177,4.64E-175,0.163439027,0.105283536,0.080425016,CV
Sqle,0.73172643,0.743140805,0.775189901,0.824848503,0.839129441,0.879602846,0.932118345,0.961404799,1.011922279,1.21E-176,5.72E-175,0.737433618,0.829692673,0.968481808,PV
Clu,24.11033085,23.42273854,23.27153697,22.60277286,22.45042196,22.79152135,23.15115655,23.48983018,24.31239992,1.09E-174,5.10E-173,23.7665347,22.77906329,23.65112888,CV
Mup5,0.151317797,0.150870665,0.100441989,0.088821668,0.085623189,0.084091534,0.072469434,0.073173745,0.07378371,9.92E-174,4.63E-172,0.151094231,0.089744595,0.073142296,CV
Pdia6,3.824251738,3.999642789,4.07075395,4.248198569,4.299693295,4.468687319,4.528051932,4.560577896,4.580339475,6.11E-173,2.84E-171,3.911947264,4.271833283,4.556323101,PV
Ndufa13,4.392095265,4.630077339,5.016078648,4.911167432,5.122715801,5.186243852,5.149417825,5.269465373,5.288706845,5.95E-170,2.76E-168,4.511086302,5.059051433,5.235863348,PV
Ces1b,0.987293152,1.092739708,1.150709847,1.151285201,1.058598548,0.991076274,0.913082385,0.87100139,0.834847117,2.58E-168,1.19E-166,1.04001643,1.087917468,0.872976964,MZ
Gpld1,2.003258781,1.954127291,1.899645879,1.833320745,1.80462612,1.652835053,1.627978152,1.621225155,1.567611433,2.68E-168,1.23E-166,1.978693036,1.797606949,1.605604913,CV
Kynu,1.348695279,1.505051311,1.582296868,1.709987256,1.701822515,1.725776924,1.764236786,1.794650802,1.830552013,2.77E-168,1.27E-166,1.426873295,1.679970891,1.796479867,PV
Bphl,1.385464194,1.288195444,1.193951282,1.207219069,1.112074687,1.076294945,1.112862642,1.039582373,1.031946907,1.86E-167,8.49E-166,1.336829819,1.147384996,1.061463974,CV
Sult1b1,0.540610729,0.519391498,0.49025095,0.451735683,0.432693663,0.415556067,0.383330219,0.364409864,0.358421258,3.84E-167,1.75E-165,0.530001114,0.447559091,0.368720447,CV
Nrg4,0.083721127,0.091546297,0.098686594,0.113163296,0.129347678,0.150535676,0.153034073,0.168589899,0.179818172,4.66E-166,2.12E-164,0.087633712,0.122933311,0.167147381,PV
Cyp2d22,2.741305794,2.584285536,2.413446833,2.455313036,2.268963734,2.26299595,2.29194328,2.267596561,2.264285594,8.57E-166,3.88E-164,2.662795665,2.350179888,2.274608478,CV
Hcn3,0.221702586,0.264914747,0.259726588,0.281183073,0.297158523,0.318860781,0.338837198,0.356479725,0.369963049,1.06E-165,4.80E-164,0.243308667,0.289232241,0.355093324,PV
Cyp17a1,0.021556585,0.025358171,0.03265545,0.039381392,0.04767094,0.058165883,0.07037581,0.088150555,0.081356142,4.51E-165,2.04E-163,0.023457378,0.044468416,0.079960836,PV
Atp5b,6.951919331,7.088711888,7.067497463,7.329934573,7.517488284,7.676051072,7.745533164,7.704319279,7.815641859,2.98E-164,1.34E-162,7.02031561,7.397742848,7.755164767,PV
Gys2,0.899247303,0.926551066,0.95900386,1.007753667,1.059248361,1.094853689,1.142106312,1.179745968,1.254113704,4.52E-164,2.03E-162,0.912899185,1.030214894,1.191988661,PV
Psma7,1.465857109,1.434504409,1.35507628,1.288356571,1.23731639,1.202880914,1.178327705,1.152641079,1.133539045,4.88E-163,2.18E-161,1.450180759,1.270907539,1.154835943,CV
Slc30a10,0.256210107,0.268645747,0.309594756,0.320305183,0.3511899,0.361234045,0.396530017,0.411139842,0.434391306,6.68E-163,2.98E-161,0.262427927,0.335580971,0.414020388,PV
Zfp750,0.032132694,0.042054177,0.054317285,0.064902589,0.079958705,0.08903844,0.100290075,0.107702632,0.110325469,1.63E-162,7.26E-161,0.037093436,0.072054255,0.106106059,PV
Dnajc12,0.645784206,0.636570308,0.627159832,0.591188361,0.550955511,0.529929894,0.486235329,0.498165658,0.483398137,3.21E-162,1.43E-160,0.641177257,0.5748084,0.489266375,CV
Cyp2u1,0.374383998,0.418325204,0.453515033,0.485447673,0.536090537,0.562707421,0.572172297,0.55885305,0.60329967,3.69E-161,1.63E-159,0.396354601,0.509440166,0.578108339,PV
Stbd1,1.135588823,1.095188729,1.050793181,1.022086436,0.962715848,0.917278351,0.862559471,0.847987774,0.824300693,4.33E-161,1.91E-159,1.115388776,0.988218454,0.844949313,CV
Hgfac,0.734186455,0.862789481,0.931098514,1.021918516,1.045092964,1.080984113,1.05152251,1.043429513,1.048484892,7.75E-161,3.41E-159,0.798487968,1.019773527,1.047812305,PV
Plin2,3.567182443,3.502150276,3.373503034,3.522628544,3.639394281,3.774634918,3.914606129,3.998264539,4.14730347,3.70E-160,1.63E-158,3.53466636,3.577540194,4.020058046,PV
Dpyd,3.053885382,3.223394162,3.213369231,3.312992459,3.518479515,3.548796371,3.587693214,3.692138381,3.644534131,5.49E-160,2.40E-158,3.138639772,3.398409394,3.641455242,PV
Serpinf2,11.92145952,12.38281863,12.84186364,13.16787008,13.37363798,13.38222015,13.30421929,13.26329205,13.16378155,6.88E-160,3.01E-158,12.15213908,13.19139796,13.2437643,PV
Ero1lb,0.382160892,0.391652442,0.512485413,0.432196076,0.474574767,0.505786189,0.582884763,0.562265135,0.622265615,9.24E-160,4.03E-158,0.386906667,0.481260611,0.589138504,PV
Apoc1,105.5497362,104.9454122,104.6393087,102.454022,100.984117,100.0072177,98.83501436,98.42236754,98.45780874,1.38E-159,6.00E-158,105.2475742,102.0211664,98.57173021,CV
Gm4788,1.967935526,2.152007744,2.189317956,2.294359856,2.370993829,2.403836136,2.468673816,2.503563758,2.495444799,3.16E-159,1.37E-157,2.059971635,2.314626944,2.489227458,PV
Wfdc2,0.032363837,0.033229668,0.044800501,0.056304927,0.065400475,0.086321591,0.089818916,0.103322684,0.102321674,3.51E-159,1.52E-157,0.032796753,0.063206874,0.098487758,PV
Colec12,0.41919465,0.364930446,0.325963024,0.290898241,0.294872739,0.275648893,0.269913994,0.251184707,0.245589939,5.23E-159,2.26E-157,0.392062548,0.296845724,0.25556288,CV
Fgl1,2.588850146,2.671664942,2.673081198,2.64255987,2.514387101,2.440110097,2.350319969,2.254941215,2.123496693,6.10E-159,2.63E-157,2.630257544,2.567534567,2.242919292,CV
Tmem19,1.516218685,1.486195612,1.465543055,1.439842796,1.349436488,1.296657768,1.258609258,1.203590777,1.174102174,8.96E-159,3.86E-157,1.501207149,1.387870027,1.212100736,CV
1810064F22Rik,0.015523214,0.016124059,0.018459115,0.019087074,0.02773046,0.038731731,0.050438038,0.060160915,0.069000797,1.18E-157,5.06E-156,0.015823637,0.026002095,0.059866583,PV
Hadh,2.019263696,1.926073018,1.786046749,1.760585049,1.659281943,1.667773022,1.615820632,1.605987456,1.576876752,1.59E-156,6.81E-155,1.972668357,1.718421691,1.599561613,CV
Cfhr1,2.343783674,2.378056392,2.389912573,2.206764574,2.14697424,2.065306004,2.003901485,2.020543292,1.953754982,5.06E-155,2.16E-153,2.360920033,2.202239348,1.992733253,CV
Cox7c,8.691618717,9.151213075,9.461335506,9.708575715,10.0667818,9.929859459,10.05714502,10.10094171,10.28201358,3.05E-154,1.29E-152,8.921415896,9.79163812,10.1467001,PV
Pygl,2.554048671,2.596473015,2.644595834,2.770166487,2.884262404,2.915806338,2.977299282,3.015239393,3.097597963,2.04E-153,8.63E-152,2.575260843,2.803707766,3.030045546,PV
Serp1,2.456425615,2.48529896,2.578523901,2.649246546,2.799352475,2.759476142,2.880962394,2.947658888,2.970835959,3.46E-153,1.46E-151,2.470862288,2.696649766,2.933152414,PV
Lipa,1.227009806,1.178512828,1.139517808,1.081505559,1.03993006,1.017846032,0.950228196,0.930006159,0.932671609,1.08E-151,4.55E-150,1.202761317,1.069699865,0.937635321,CV
Akr1c14,1.779057983,1.630293594,1.55615175,1.543254688,1.457746766,1.434694534,1.402824054,1.415358209,1.355776303,1.13E-151,4.73E-150,1.704675789,1.497961935,1.391319522,CV
Tm7sf2,1.963852509,1.914142008,1.858891944,1.744367165,1.709085739,1.645085227,1.584670998,1.556216423,1.538008987,5.19E-151,2.17E-149,1.938997259,1.739357519,1.559632136,CV
Abcg5,0.561951745,0.562331424,0.541061979,0.498744212,0.461967196,0.4404079,0.440356462,0.400094728,0.394702457,5.37E-151,2.24E-149,0.562141585,0.485545322,0.411717882,CV
Mbl2,3.8151159,3.915870866,3.919180303,3.860233532,3.698846361,3.612616059,3.56701652,3.387459808,3.275424725,6.70E-151,2.80E-149,3.865493383,3.772719064,3.409967018,CV
Dhrs3,1.244560718,1.180194968,1.145362787,1.126998627,1.037078376,1.002497919,0.988431527,0.958274186,0.943152104,7.09E-149,2.94E-147,1.212377843,1.077984427,0.963285939,CV
Igfbp1,0.382030879,0.333109111,0.317621795,0.289894203,0.28115938,0.268801762,0.256448,0.24465233,0.238227863,4.70E-148,1.94E-146,0.357569995,0.289369285,0.246442731,CV
Dlat,0.482507082,0.448907316,0.434084212,0.414230168,0.392671457,0.36942373,0.345793936,0.331591605,0.310879372,1.25E-147,5.16E-146,0.465707199,0.402602392,0.329421638,CV
Gcdh,5.099101058,4.918087466,4.780653859,4.597457735,4.521712489,4.582804566,4.484787227,4.418833947,4.318680513,1.50E-147,6.15E-146,5.008594262,4.620657162,4.407433896,CV
Idh2,0.896750944,0.784491106,0.716558026,0.65236595,0.632203019,0.640822908,0.665337698,0.675366291,0.681418763,1.73E-146,7.10E-145,0.840621025,0.660487476,0.674040917,CV
Psmb4,2.983276642,2.820209742,2.720179391,2.712595331,2.608135505,2.530380408,2.539455953,2.438641391,2.416632396,1.08E-145,4.41E-144,2.901743192,2.642822659,2.464909913,CV
Maob,1.185476893,1.194944578,1.302851862,1.262512417,1.363843006,1.386740838,1.474701411,1.501760559,1.557485507,1.43E-144,5.82E-143,1.190210736,1.328987031,1.511315826,PV
Alas1,1.385431743,1.282152313,1.222964654,1.126261192,1.057455272,1.00084992,0.999143508,0.98257084,1.048088177,4.02E-143,1.62E-141,1.333792028,1.10188276,1.009934175,CV
B4galt5,0.1147519,0.145459372,0.140242998,0.166632804,0.185579591,0.20909417,0.20348142,0.220046053,0.228275781,5.99E-142,2.41E-140,0.130105636,0.175387391,0.217267751,PV
Plxnb1,0.126536136,0.160929006,0.194257497,0.193940531,0.223243297,0.23314551,0.23803984,0.239085471,0.256174502,1.23E-141,4.93E-140,0.143732571,0.211146709,0.244433271,PV
Apof,7.791829245,8.006572131,8.360380237,8.734461798,8.6891819,8.707290712,8.693757142,8.717530856,8.794598979,5.21E-141,2.07E-139,7.899200688,8.622828662,8.735295659,PV
Mpc1,0.543556458,0.569945113,0.586638746,0.529123849,0.49240641,0.47361958,0.456201618,0.428412256,0.393419755,2.69E-140,1.07E-138,0.556750786,0.520447146,0.42601121,CV
