Gene,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,P value,Q value (Benjamini-Hochberg corrected P value),CV,MZ,PV,Zone
Rnase4,17.09768084,15.46530612,13.74777962,12.10751295,10.32364737,8.951205094,7.427388361,6.449319209,5.594319271,0,0,16.28149348,11.28253626,6.49034228,CV
Tsc22d1,1.006550799,0.855129763,0.689685531,0.558610176,0.506031571,0.398925866,0.330841067,0.308368627,0.261908509,0,0,0.930840281,0.538313286,0.300372734,CV
Dct,0.616047341,0.33325747,0.219728279,0.190933856,0.185823279,0.185034925,0.197891115,0.209101042,0.208044639,0,0,0.474652406,0.195380085,0.205012265,CV
C6,3.428907083,2.948772933,2.560031035,2.262075856,2.027846058,1.898094443,1.837434381,1.789557265,1.773298703,0,0,3.188840008,2.187011848,1.800096783,CV
Fitm1,0.612750528,0.416273956,0.302217727,0.218672011,0.175373032,0.151607354,0.12855773,0.103118919,0.093489323,0,0,0.514512242,0.211967531,0.108388657,CV
Cpox,1.627237642,1.425325606,1.224923832,1.125429734,1.004321926,0.957923968,0.904175117,0.837825151,0.781543295,0,0,1.526281624,1.078149865,0.841181188,CV
Sod1,12.85401591,12.36591004,11.98705363,11.50113587,11.52657864,10.82706778,10.67180007,10.36977026,10.10480596,0,0,12.60996298,11.46045898,10.38212543,CV
Csad,2.593353573,2.576205974,2.332850949,2.037206434,1.609813257,1.289735756,1.058947506,0.883824743,0.750694969,0,0,2.584779774,1.817401599,0.897822406,CV
Fabp2,1.546644934,1.450203044,1.383845,1.248209405,1.156450209,1.136869075,1.073074354,1.082323056,0.991344793,0,0,1.498423989,1.231343422,1.048914068,CV
Rgn,12.59339046,10.39314995,8.790326298,7.508034032,6.110108483,4.931898593,3.866328871,2.966628463,2.009599688,0,0,11.49327021,6.835091852,2.947519007,CV
Slc22a1,8.044087698,5.744082467,4.272335127,3.440901281,2.939237235,2.602741105,2.501445183,2.296604125,2.213340936,0,0,6.894085083,3.313803687,2.337130081,CV
Cyb5a,18.13768892,16.58077262,15.14808458,13.91639865,12.87278764,11.65012383,10.87051151,10.26911228,9.717745765,0,0,17.35923077,13.39684868,10.28578985,CV
Rbp4,54.52949611,51.98040769,49.88207,48.14321085,46.66161389,45.1721126,44.70758833,44.56131178,44.52498332,0,0,53.2549519,47.46475184,44.59796114,CV
Cyp2c40,0.969784585,0.561117101,0.328771169,0.208310258,0.157575709,0.124545217,0.119206357,0.099663314,0.087006321,0,0,0.765450843,0.204800588,0.101958664,CV
Abcc2,2.112097374,2.024001761,1.904068203,1.735074529,1.561739332,1.472863545,1.277029924,1.221906659,1.151879532,0,0,2.068049568,1.668436402,1.216938705,CV
Hsd17b10,1.258442414,1.102244079,0.965349091,0.882185489,0.801290579,0.760594771,0.724954694,0.736073523,0.693273342,0,0,1.180343247,0.852354983,0.71810052,CV
Abhd6,0.476659901,0.388890008,0.381437737,0.312361889,0.277033284,0.264885052,0.237470349,0.241532971,0.247732455,0,0,0.432774955,0.308929491,0.242245258,CV
Mettl7b,8.830136314,8.395855248,7.866414752,7.678990905,7.358835171,7.195460334,7.117791387,7.219504357,7.137760805,0,0,8.612995781,7.524925291,7.158352183,CV
Cyp2e1,74.41366968,62.13379818,49.82633415,38.72688989,27.74256765,20.23907679,15.27140485,12.04142784,9.002938041,0,0,68.27373393,34.13371712,12.10525691,CV
Gsta3,23.10588694,21.50523796,19.09297532,17.41564987,15.05026313,13.13475397,11.28381347,10.02723451,8.321961628,0,0,22.30556245,16.17341057,9.877669869,CV
Cyp27a1,4.847187245,4.33013965,3.943836791,3.579369584,3.111399921,2.740863967,2.410132242,2.195551953,2.030917086,0,0,4.588663448,3.343867566,2.212200427,CV
Spp2,3.057863827,2.774763187,2.562134949,2.416310582,2.383087726,2.250624219,2.208734928,2.168854445,2.099307473,0,0,2.916313507,2.403039369,2.158965615,CV
C4bp,10.24521435,9.385326997,8.889429201,8.441110458,8.090591927,7.905761969,7.887918147,7.614082437,7.394986895,0,0,9.815270674,8.331723389,7.63232916,CV
Glul,13.02658806,6.211542346,3.416688517,2.464198358,2.055808347,1.753146697,1.55280979,1.36940675,1.159310215,0,0,9.619065203,2.42246048,1.360508918,CV
Phyh,23.53351779,22.09714766,21.53965539,20.42256741,19.77247452,19.33283635,19.04922941,19.00882389,18.96857885,0,0,22.81533273,20.26688342,19.00887738,CV
Prdx6,6.87456857,6.508764211,6.238582765,5.969141328,5.745812925,5.48375783,5.277102852,5.181161458,5.074745531,0,0,6.691666391,5.859323712,5.177669947,CV
Sord,16.09986781,14.99552281,14.00342291,13.74177712,12.31930465,11.43542216,10.60852844,10.09006873,9.511243886,0,0,15.54769531,12.87498171,10.06994702,CV
Gpcpd1,1.308516379,1.091510587,0.915876844,0.854064172,0.746208241,0.71912866,0.73531791,0.700390797,0.718141294,0,0,1.200013483,0.808819479,0.71795,CV
Car3,27.89309701,25.61971953,23.38784573,21.98234306,20.20681689,18.76529687,17.40448569,16.0097186,14.05815555,0,0,26.75640827,21.08557564,15.82411995,CV
Mme,0.471280493,0.364886285,0.295672486,0.243979329,0.219889564,0.199719542,0.198043317,0.197342351,0.193797519,0,0,0.418083389,0.23981523,0.196394396,CV
Cyp7a1,1.127510541,1.023025193,1.414001031,0.798433536,0.62764199,0.482407175,0.362913416,0.296455991,0.232587109,0,0,1.075267867,0.830620933,0.297318839,CV
