"","x"
"TMEM216",0.748484848484848
"RP11-169K16.9",0.748484848484848
"NRF1",0.748484848484848
"GPSM1",0.748484848484848
"CHSY1",0.748484848484848
"AC009506.1",0.748484848484848
"GNRH2",0.748484848484848
"EPDR1",0.748484848484848
"C12orf4",0.748484848484848
"TFF3",0.748484848484848
"DNAJC2",0.748484848484849
"NEDD1",0.748484848484849
"RCOR1",0.748484848484849
"HAUS8",0.748484848484849
"SCAF4",0.748484848484849
"RP11-421L21.3",0.748484848484849
"LTBP1",0.748484848484849
"PHF7",0.748484848484849
"AL009178.1",0.748484848484849
"GTF2IRD2",0.748484848484849
"WAC-AS1",0.748484848484849
"PSMA6",0.748484848484849
"MGAT5",0.748484848484849
"HSPB6",0.748484848484849
"FAM86B1",0.748484848484849
"EFNA4",0.748484848484849
"AP006285.7",0.748484848484849
"RILPL1",0.74848484848485
"BTBD19",0.74848484848485
"BMPER",0.74848484848485
"PATL2",0.74848484848485
"AHSG",0.749272580911209
"HULC",0.74985867409003
"DOHH",0.750065458068315
"CLU",0.750895593436804
"APPL1",0.751257014590348
"DDX42",0.751316081570961
"PRELID1",0.751591821300897
"SSR3",0.752762269621153
"DOPEY1",0.752887700534759
"AC068535.3",0.75288770053476
"SLC25A14",0.75288770053476
"CD300A",0.75288770053476
"LRRC41",0.753233306255094
"AMDHD1",0.753477328883392
"SFT2D2",0.754684455911391
"AGTR1",0.754970581213615
"MARCH2",0.755140952448515
"GGH",0.756752290450303
"UBE2L6",0.758410602194908
"ARL4A",0.759475651048659
"DDX56",0.759949128421796
"GATM",0.75998780023359
"MID1IP1",0.760573909296077
"MT-ND3",0.761813185688834
"ACOX1",0.76224257441726
"REEP5",0.762289171772089
"GTF3C2",0.762387766947348
"ATG4B",0.764573439266629
"APOA2",0.764879229492958
"PANK4",0.76581088664422
"ALDH3A2",0.766549202735876
"ZFP36L2",0.767143113396893
"DTYMK",0.7681236373218
"ICMT",0.769064171590183
"CALCRL",0.769064171590183
"TARS",0.769132706374086
"MEG3",0.769248714218737
"MT-CYB",0.769936564618024
"KHK",0.7701575804196
"ACP5",0.770489826683224
"H2AFY",0.770733316271685
"IGF2",0.771129008893752
"PCSK6",0.771366829811219
"TTC3",0.772193084634393
"USP18",0.772487254068802
"APOL3",0.772487254068803
"FXYD2",0.775667510551595
"SEC23IP",0.777185519094001
"TAF2",0.777392612050007
"GTF2A1",0.777392612050007
"MT-CO2",0.778416928582142
"ADNP",0.778496891619577
"MICALL2",0.778914226310116
"HIST1H1C",0.779138975237688
"PAN2",0.779314372076303
"IST1",0.779697867160549
"RNF213",0.779922643672111
"TBC1D20",0.780429981096184
"USE1",0.78052310756747
"PDE4DIP",0.781344802065863
"MRGBP",0.78189935064935
"TAP2.1",0.782506887052341
"UXS1",0.782506887052341
"THRA",0.782506887052341
"PRPF40B",0.782506887052342
"HMBOX1",0.782506887052342
"ZW10",0.782506887052342
"WDR90",0.782506887052343
"APMAP",0.782856038641391
"CTSH",0.783089184576855
"SPATA20",0.783188885341575
"SDSL",0.783866372743072
"C1QB",0.78392741751099
"GLS2",0.784162188331063
"COLEC11",0.784842558380476
"RAB11FIP3",0.785021265581856
"UBE2M",0.785109875355025
"MT-CO1",0.785304641974332
"YIF1A",0.785308406622272
"CYP27A1",0.78531032357916
"LPGAT1",0.785372528919266
"ZMYM3",0.7856228521706
"SF3B1",0.786246483424049
"RCSD1",0.787138091381718
"CYP1A2",0.787809045478097
"SLC13A3",0.787814442247419
"GSTA2",0.788412222811499
"COX7B",0.788442838968315
"PCOLCE",0.788610203503729
"MT-CO3",0.789193373495091
"NUDC",0.78919719318346
"CBLC",0.789378283448516
"CYSTM1",0.789531440872091
"FAM134C",0.790435280655632
"NDUFS6",0.790571969439954
"FBXW2",0.790921165990998
"FDPS",0.791004801489547
"ARL6IP1",0.791086209644494
"HLA-DPB1",0.791492022754042
"GPX2",0.791846670032281
"GPX1",0.792853313888026
"S100A14",0.793037518037519
"HSDL2",0.793139587404064
"SIAH1",0.793194296285776
"HTT",0.793338157719171
"IMMP2L",0.794040410706552
"GPANK1",0.794213288763149
"ATP2B2",0.794810021333735
"SDC3",0.795265151515151
