"","zone_1","zone_2","zone_3"
"Apol7d",0,0,0
"Gm8883",0,0,0
"Gm28818",0,NA,0
"Mreg",0,0,0
"Pecr",0,0,0
"Tmem169",0,NA,0
"Xrcc5",0,0,0
"Smarcal1",0,0,0
"Rpl37a",0,0,0.0802648554050776
"Igfbp2",0,0.177957413853832,0
"Igfbp5",0,0,0
"Tns1",0,0,0
"Rufy4",0,NA,0
"Arpc2",0,0,0
"Aamp",0,0,0
"Pnkd",0,0,0
"Tmbim1",0,0,0
"Catip",0,NA,0
"Slc11a1",0,0,0
"Ctdsp1",0,0,0
"Vil1",0,NA,0
"Usp37",0,0,0
"Cnot9",0,0,0
"Zfp142",0,0,0
"Bcs1l",0,0,0
"Rnf25",0,0,0
"Stk36",0,NA,0
"Ttll4",0,0,0
"Cyp27a1",0,0,0.409929389813434
"Ihh",0,0,0
"Nhej1",0,0,0
"Slc23a3",0,NA,0
"Cnppd1",0,0,0
"Retreg2",0,0,0
"Zfand2b",0,0,0
"Abcb6",0,0,0.0226508572023036
"Atg9a",0,0,0
"Ankzf1",0,0,0
"Glb1l",0,0,0
"Stk16",0,0,0
"Tuba4a",0,0,0
"Dnajb2",0,0,0.0150579375658597
"Ptprn",0,NA,0
"Dnpep",0,0,0
"Des",0,0,0
"Speg",0,0,0
"Gmppa",0,0,0
"Chpf",0,0,0
"Obsl1",0,0,0
"Tmem198",0,NA,0
"Inha",0,NA,0
"Stk11ip",0,0,0
"Slc4a3",0,NA,0
"Epha4",0,NA,0
"Sgpp2",0,NA,0
"Farsb",0,0,0
"Mogat1",0,0,0
"Acsl3",0,0,0
"Utp14b",0,0,0
"Kcne4",0,NA,0
"Ap1s3",0,NA,0
"Wdfy1",0,0,0
"Mrpl44",0,0,0
"Serpine2",0,0,0
"Cul3",0,0,0
"Dock10",0,0,0
"Irs1",0,0,0
"Gm9747",0,NA,0
"Rhbdd1",0,0,0
"Col4a4",0,NA,0
"Col4a3",0,NA,0
"Mff",0,0,0
"Agfg1",0,0,0
"A030005L19Rik",0,NA,0
"Pid1",0,0,0.0391863995995805
"Trip12",0,0,0
"Fbxo36",0,0,0
"C130026I21Rik",0,NA,0
"A530032D15Rik",0,NA,0
"Sp110",0,0,0
"Sp140",0,0,0
"Sp100",0,0,0
"A630001G21Rik",0,0,0
"Cab39",0,0,0
"Itm2c",0,0,0
"Gpr55",0,NA,0
"X2810459M11Rik",0,0,0
"Psmd1",0,0,0.0111652151311531
"Armc9",0,0,0
"Ncl",0,0,0
"Ptma",0,0,0
"Pde6d",0,0,0
"Cops7b",0,0,0
"Dis3l2",0,0,0
"Eif4e2",0,0,0
"Efhd1",0,NA,0
"Gigyf2",0,0,0
"X3110079O15Rik",0,0,0
"Ngef",0,0,0
"Neu2",0,0,0
"Inpp5d",0,0,0
"Atg16l1",0,0,0
"Sag",0,NA,0
"Dgkd",0,0,0
"Usp40",0,0,0
"Ugt1a9",0,NA,0
"Ugt1a7c",0,NA,0
"Ugt1a6b",0,NA,0
"Ugt1a6a",0,0,0
"Dnajb3",0,NA,0
"Ugt1a1",0,NA,0
"Mroh2a",0,0,0
"Hjurp",0,0,0.0135126985699228
"Spp2",0,0,0.0144000818666814
"Gm29336",0,NA,0
"Arl4c",0,NA,0
"Sh3bp4",0,0,0
"Agap1",0,0,0
"Ackr3",0,0,0
"Cops8",0,0,0
"Col6a3",0,0,0
"Mlph",0,0,0
"Rab17",0,0,0.0141136557596589
"Lrrfip1",0,0,0
"Ramp1",0,0,0
"Ube2f",0,0,0
"Scly",0,0,0
"Ilkap",0,0,0
"Hes6",0.0207185996982134,0,0
"Per2",0,0,0
"Traf3ip1",0,0,0
"Asb1",0,0,0
"Hdac4",0,0,0
"Ndufa10",0,0,0.0110504954473463
"Cops9",0,0,0
"Gpc1",0.011484583081394,0,0
"Ankmy1",0,NA,0
"Dusp28",0,0,0
"X5033417F24Rik",0,NA,0
"Rnpepl1",0,0,0
"Capn10",0,0,0
"Gpr35",0,NA,0
"Gm28086",0,NA,0
"Agxt",0.0521838185489934,0.0170594677018061,0
"X2310007B03Rik",0,NA,0
"Sned1",0,0,0
"Mterf4",0,0,0
"Pask",0,NA,0
"Ppp1r7",0,0,0
"Hdlbp",0,0,0
"Sept2",0,0,0
"Farp2",0,0,0
"Stk25",0,0,0
"Bok",0,0,0
"Thap4",0,0,0
"Atg4b",0,0,0
"Dtymk",0,0,0.0105124405864083
"Ing5",0,0,0
"D2hgdh",0,0,0
"Fam174a",0,0,0
"St8sia4",0,NA,0
"D1Ertd622e",0,0,0
"Ppip5k2",0,0,0
"Gin1",0,0,0
"Pam",0,0,0
"Gm7967",0,NA,0
"Rnf152",0,0,0
"Gm17634",0,0,0.0141440881408931
"Pign",0,0,0
"X2310035C23Rik",0,0,0
"Tnfrsf11a",0,NA,0
"Gm7160",0,0,0
"Zcchc2",0,0,0
"Gm20753",0,NA,0
"Phlpp1",0,0,0
"Bcl2",0,NA,0
"Kdsr",0,0,0
"Vps4b",0,0,0
"Serpinb8",0,0,0
"Dsel",0,NA,0
"Tsn",0,0,0
"Nifk",0,0,0
"Clasp1",0,0,0
"X2900060B14Rik",0,NA,0
"Tfcp2l1",0,0,0
"Inhbb",0,0,0
"Ralb",0,0,0
"Gm27184",0,0,0
"Tmem185b",0,0,0
"Epb41l5",0,0,0
"Ptpn4",0,0,0
"Tmem177",0,0,0
"Tmem37",0,0,0
"Dbi",0,0.0119934794849988,0.0315710587107639
"X3110009E18Rik",0,0,0
"Steap3",0,0,0
"Marco",0.0245600375007655,0,0
"Insig2",0,0,0
"Ccdc93",0,0,0
"Ddx18",0,0,0
"Actr3",0,0,0
"Slc35f5",0,0,0
"Gpr39",0,0,0
"Lypd1",0,NA,0
"Nckap5",0,NA,0
"Mgat5",0,0,0
"Tmem163",0,NA,0
"Acmsd",0,0,0
"X2900009J06Rik",0,0,0
"Ccnt2",0,0,0
"Rab3gap1",0,0,0
"Zranb3",0,0,0
"R3hdm1",0,0,0
"Ubxn4",0,0,0.0152811395352057
"Mcm6",0,0,0
"Dars",0,0,0
"Cxcr4",0,NA,0
"Gm15675",0,0,0
"Cd55",0,0,0
"C4bp",0,0,0.133311598617993
"Gm29427",0,0,0
"Pfkfb2",0,0,0
"Yod1",0,0,0
"AA986860",0,NA,0
"Gm28857",0,NA,0
"Gm15848",0,NA,0
"Pigr",0.601400390496452,0.011321631461121,0
"Fcmr",0,0,0
"Il10",0,NA,0
"Mapkapk2",0,0,0
"Dyrk3",0,NA,0
"Eif2d",0,0,0
"Rassf5",0,0,0
"Ikbke",0,0,0
"Gm28913",0,NA,0
"Srgap2",0,0,0
