"","zone_1","zone_2","zone_3"
"Wdtc1",0,0,0
"Slc9a1",0,0,0
"Trnp1",0,NA,0
"Kdf1",0,0,0
"Nudc",0,0,0
"Nr0b2",0,0,0
"Gpatch3",0,0,0
"Gpn2",0,0,0
"Sfn",0,NA,0
"Zdhhc18",0,0,0
"Pigv",0,0,0
"Arid1a",0,0,0
"Rps6ka1",0,0,0
"Hmgn2",0,0,0
"Dhdds",0,0,0
"Crybg2",0,0,0
"Cd52",0,0,0
"Ubxn11",0,NA,0
"Sh3bgrl3",0,0,0
"Cep85",0,0,0.0116866116018229
"Cnksr1",0,NA,0
"Zfp593",0,0,0
"Grrp1",0,NA,0
"Pdik1l",0,0,0
"Extl1",0,0,0
"Pafah2",0,0,0.0230767635975145
"Stmn1",0,0,0.0125900754913991
"Paqr7",0,0,0
"Mtfr1l",0,0,0
"Selenon",0,0,0
"Man1c1",0,0,0
"Ldlrap1",0,0,0
"Tmem57",0,0,0
"Tmem50a",0,0,0
"Rsrp1",0,0,0
"Syf2",0,0,0
"Runx3",0,NA,0
"Clic4",0,0,0
"Srrm1",0,0,0
"Ncmap",0,NA,0
"Rcan3",0,0,0
"Nipal3",0,0,0
"Stpg1",0,NA,0
"Ifnlr1",0,NA,0
"Il22ra1",0,NA,0
"Myom3",0,NA,0
"Srsf10",0,0,0
"Pnrc2",0,0,0
"Cnr2",0,0,0
"Fuca1",0,0,0
"Hmgcl",0,0,0.127478679565015
"Gale",0,0,0
"Lypla2",0,0,0
"Pithd1",0,0,0
"Eloa",0,0,0
"Rpl11",0,0,0.0906132305985267
"Id3",0,0,0.0169077769517301
"E2f2",0,0,0
"Asap3",0,0,0
"Tcea3",0,0,0
"Zfp46",0,0,0
"Hnrnpr",0,0,0
"X6030445D17Rik",0,NA,0
"Luzp1",0,0,0
"Kdm1a",0,0,0
"Ephb2",0,NA,0
"C1qb",0.0195301930270286,0.0154980507966265,0
"C1qc",0.0164047267062572,0.0167107845140865,0
"C1qa",0,0,0
"Zbtb40",0,0,0
"Wnt4",0,0,0
"Cdc42",0,0,0
"X2810405F17Rik",0,0,0
"Hspg2",0,0,0
"Usp48",0,0,0
"Rap1gap",0.0114013642721031,0,0
"Rap1gapos",0,NA,0
"Alpl",0,0,0
"Ece1",0,0,0
"Gm13012",0,NA,0
"Eif4g3",0,0,0
"Hp1bp3",0,0,0
"Ddost",0,0,0
"Pink1",0,0,0
"Cda",0,0,0
"Mul1",0,0,0
"Camk2n1",0,0,0
"Otud3",0,0,0
"Rnf186",0,0,0.0552874047776174
"Tmco4",0,0,0
"Nbl1",0,NA,0
"Minos1",0,0,0
"Capzb",0,0,0
"Pqlc2",0,0,0
"Akr7a5",0,0,0.0230428162308422
"Mrto4",0,0,0
"Emc1",0,0,0
"Ubr4",0,0,0
"X2700016F22Rik",0,0,0
"Iffo2",0,0,0
"Aldh4a1",0,0,0.137086726593442
"Klhdc7a",0,0,0
"Gm13017",0,NA,0
"Gm13021",0,0,0
"Arhgef10l",0,0,0
"Rcc2",0,0,0
"Padi2",0,NA,0
"Sdhb",0,0,0
"Atp13a2",0,0,0
"Mfap2",0,NA,0
"Crocc",0,0,0
"Necap2",0,0,0
"Szrd1",0,0,0
"Fbxo42",0,0,0
"Arhgef19",0,0,0.0586906085237953
"Gm13056",0,0,0
"Epha2",0,0,0
"Gm13074",0,NA,0
"Fam131c",0,0,0
"Zbtb17",0,0,0
"Spen",0,0,0
"Fblim1",0,0,0
"Tmem82",0,0,0
"AI507597",0,NA,0
"Slc25a34",0,0,0
"Plekhm2",0,0,0
"Ddi2",0,0,0
"Agmat",0,0,0.0155976062569918
"Dnajc16",0,0,0
"Casp9",0,0,0
"Cela2a",0,0,0
"Efhd2",0,0,0.0197404459799519
"Fhad1",0,0,0
"X4930455G09Rik",0,NA,0
"Tmem51",0.0119157671067467,0,0
"Kazn",0,NA,0
"Prdm2",0,0,0
"Pramef8",0,0,0
"Dhrs3",0,0,0.0192564554908202
"Vps13d",0,0,0
"Tnfrsf1b",0,0,0
"Gm13212",0,NA,0
"Zfp992",0,0,0
"Gm26880",0,NA,0
"Zfp991",0,NA,0
"Zfp982",0,NA,0
"Zfp979",0,NA,0
"Zfp984",0,0,0
"Gm20707",0,NA,0
"Zfp933",0,0,0
"Miip",0,0,0
"Fv1",0,NA,0
"Mfn2",0,0,0
"Plod1",0,0,0.0322890024786679
"X2510039O18Rik",0,0,0
"Clcn6",0,0,0
"Mthfr",0,0,0
"Agtrap",0,0,0
"Mad2l2",0,0,0
"Fbxo6",0,0,0
"Fbxo44",0,0,0
"Fbxo2",0,NA,0
"Ubiad1",0,0,0
"Mtor",0,0,0
"Angptl7",0,NA,0
"Exosc10",0,0,0
"Srm",0,0,0
"Masp2",0,0,0
"Tardbp",0,0,0
"Gm13203",0,0,0
"Casz1",0,NA,0
"Gm13205",0,NA,0
"Pex14",0,0,0
"Dffa",0,0,0
"Cenps",0,NA,0
"Pgd",0,0,0
"Kif1b",0,0,0.0128130117182696
"Ube4b",0,0,0
"Rbp7",0,NA,0
"Nmnat1",0,0,0
"Lzic",0,0,0
"Ctnnbip1",0.120061298600602,0,0
"Clstn1",0,0,0
"Pik3cd",0,0,0
"Tmem201",0,0,0
"Slc25a33",0,0,0.0289127446414105
"Spsb1",0,NA,0
"H6pd",0,0,0
"Gpr157",0,0,0
"Slc2a5",0,0,0
"Eno1",0.0813843406457053,0,0
"Rere",0,0,0
"Errfi1",0.185513734160103,0,0
"Park7",0,0,0
"Camta1",0,0,0
"Per3",0,0,0
"Vamp3",0,0,0
"Dnajc11",0,0,0
"Thap3",0,0,0
"Phf13",0,0,0
"Klhl21",0,0,0
"Zbtb48",0,0,0
"Nol9",0,0,0
"Plekhg5",0,0,0
"Tnfrsf25",0,NA,0
"Espn",0,0,0
"Acot7",0,0,0
"Gpr153",0,0,0
"Icmt",0,0,0
"Rpl22",0,0,0
"Kcnab2",0,0,0
"A430005L14Rik",0,0,0
"Dffb",0,0,0
"Cep104",0,0,0
"Lrrc47",0,0,0
"Smim1",0.0124793784435435,0,0
"Wrap73",0,0,0
"Tprgl",0,0,0
"Megf6",0,0,0
"Arhgef16",0.019377460050569,0,0
"Prdm16",0,NA,0
"Fam213b",0.0195898002759551,0,0
"Tnfrsf14",0,NA,0
"Pank4",0,0,0
"Pex10",0,0,0
"Rer1",0,0,0
"Morn1",0,0,0
"Ski",0,0,0
"Faap20",0,0,0
"Prkcz",0,0,0
"Gabrd",0,NA,0
"Tmem52",0,NA,0
"Gnb1",0,0,0
"Nadk",0,0,0
"Slc35e2",0,0,0
"Cdk11b",0,0,0
"Mmp23",0,0,0
"Mib2",0,0,0
"Fndc10",0,NA,0
"Ssu72",0,0,0
"X1500002C15Rik",0,NA,0
"Tmem240",0,0,0
"Atad3a",0,0,0
"Atad3aos",0,0,0
"Vwa1",0,NA,0
"Tmem88b",0,0,0
"Mrpl20",0,0,0
"Ccnl2",0,0,0
"Aurkaip1",0,0,0
"Mxra8",0,0,0
"Dvl1",0,0,0
"Cptp",0,0,0
"Ints11",0,0,0
"Pusl1",0,0,0
"Acap3",0,0,0
"Ube2j2",0,0,0
"C1qtnf12",0,0,0
"B3galt6",0,0,0
"Sdf4",0,0,0
"Tnfrsf4",0,NA,0
"Gm16008",0,NA,0
"Tnfrsf18",0,0,0
"Ttll10",0,NA,0
"X9430015G10Rik",0,0,0
"Rnf223",0,NA,0
"Agrn",0,0,0
"Isg15",0,0,0
"AW011738",0,0,0
"Plekhn1",0,0,0
"Noc2l",0,0,0
"Samd11",0,NA,0
"Cdk6",0,0,0
"Fam133b",0,0,0
"X1700109H08Rik",0,NA,0
"Rbm48",0,0,0
"X2510017J16Rik",0,NA,0
"Pex1",0,0,0
"X4833413G10Rik",0,NA,0
"Gatad1",0,0,0
"Ankib1",0,0,0
"Krit1",0,0,0
"Lrrd1",0,NA,0
"Mterf1a",0,0,0
"Akap9",0,0,0
"Cyp51",0,0,0
"Mterf1b",0,NA,0
"Fzd1",0,0,0
"Cdk14",0,NA,0
"Cldn12",0,0,0
"Gtpbp10",0,0,0
"Cfap69",0,NA,0
"Steap2",0.0175581227704259,0,0
"Steap1",0,NA,0
"Gm26825",0,0,0
"Steap4",0,0,0
"Sri",0,0,0
"Adam22",0,NA,0
"Dbf4",0,0,0
"Slc25a40",0,0,0
"Abcb1a",0,NA,0
"Abcb1b",0,NA,0
"Abcb4",0,0,0.0322346573736404
"Crot",0,0,0.188297067111572
"Gm40264",0,0,0
"Tmem243",0,0,0.0508055009103727
"Dmtf1",0,0,0
"X9330182L06Rik",0,NA,0
"Sema3d",0,NA,0
"Sema3a",0,NA,0
"Pclo",0,NA,0
"Cacna2d1",0,NA,0
"Hgf",0,0,0
"Cd36",0,0,0
"Gnai1",0,NA,0
"Magi2",0,NA,0
"Phtf2",0,0,0
"Tmem60",0,0,0
"Rsbn1l",0,0,0
"A630072M18Rik",0,0,0
"Ptpn12",0,0,0
"Gsap",0,0,0
"Fgl2",0,0,0
"Fam185a",0,0,0
"Fbxl13",0,NA,0
"Lrrc17",0,NA,0
"Armc10",0,0,0
"Napepld",0,NA,0
"Pmpcb",0,0,0
"Dnajc2",0,0,0
"Psmc2",0,0,0.0144545391380486
"Reln",0,0,0.037975704856197
"Orc5",0,0,0
"X6030443J06Rik",0,NA,0
"X5031425E22Rik",0,0,0
"Kmt2e",0,0,0
"Srpk2",0,0,0
"Pus7",0,0,0
"Rint1",0,0,0
"Tomm7",0,0,0.0119589989833691
"X2700038G22Rik",0,NA,0
"Fam126a",0,0,0
"Klhl7",0,0,0
"Nupl2",0,0,0
"Nos3",0,0,0
"Atg9b",0,NA,0
"Abcb8",0,0,0
"Asic3",0,NA,0
"Cdk5",0,0,0
"Slc4a2",0,0,0
"Fastk",0,0,0
"Tmub1",0,0,0
"X2310074N15Rik",0,NA,0
"Agap3",0,0,0
"Abcf2",0,0,0
"Chpf2",0,0,0
"Smarcd3",0,0,0
"Nub1",0,0,0
"Wdr86",0,NA,0
"Crygn",0,0,0.0128700822511363
"Rheb",0,0,0
"Prkag2",0,0,0
"Galnt11",0,0,0
"Kmt2c",0,0,0
"X4831440E17Rik",0,NA,0
"X1700096K18Rik",0,0,0
"Xrcc2",0,0,0
"Actr3b",0,NA,0
"Paxip1",0,0,0
"Gm26608",0,0,0
"Insig1",0.0194734752050557,0,0
"Rbm33",0,0,0
"Shh",0,NA,0
"Rnf32",0,NA,0
"Lmbr1",0,0,0
"X4632411P08Rik",0,NA,0
"Nom1",0,0,0
"Ube3c",0,0,0
"Dnajb6",0,0,0
"Tyms",0,0,0
"Hadha",0,0,0.0602679514834402
"Hadhb",0,0,0.0396684343452422
"Selenoi",0,0,0.0214812916099842
"Drc1",0,NA,0
"Kcnk3",0,NA,0
"Slc35f6",0,0,0
"Cenpa",0,0,0
"Mapre3",0,0,0
"Tmem214",0,0,0
"Agbl5",0,0,0
"Ost4",0,0,0
"Emilin1",0,0,0
"Khk",0.145225382098693,0,0
"Cgref1",0,0,0
"Preb",0,0,0
"Tcf23",0,NA,0
"Slc5a6",0,0,0
"Atraid",0,0,0
"Cad",0,0,0
"Slc30a3",0,0,0
"Mpv17",0,0,0
"Gm29609",0,NA,0
"Gtf3c2",0,0,0
"Eif2b4",0,0,0.0154529668137693
"Snx17",0,0,0
"Zfp513",0,0,0
"Ppm1g",0,0,0
"Nrbp1",0,0,0
"Krtcap3",0,NA,0
"Ift172",0,0,0
"Fndc4",0,0,0
"Gckr",0,0,0
"Zfp512",0,0,0
"Gpn1",0,0,0
"Supt7l",0,0,0
"Slc4a1ap",0,0,0
"AI839979",0,NA,0
"Mrpl33",0,0,0
"Rbks",0,0,0
"Babam2",0,0,0
"Fosl2",0,0,0
"Ppp1cb",0,0,0
"Yes1",0,0,0
"Pisd",0,0,0
"Prr14l",0,0,0
"Depdc5",0,0,0
"Ywhah",0,0,0
"Slc5a1",0,0,0
"Spon2",0,0,0
"Ctbp1",0,0,0
"Maea",0,0,0
"Uvssa",0,0,0
"Fam53a",0,0,0
"Slbp",0,0,0
"Tmem129",0,0,0
"Tacc3",0,0,0
"Fgfr3",0,0,0
"Letm1",0,0,0.0134640312671435
"Nsd2",0,0,0
"Nelfa",0,0,0
"Gm1673",0,0,0
"Haus3",0,0,0
"Mxd4",0,0,0
"Rnf4",0,0,0
"Fam193a",0,0,0
"Tnip2",0,0,0
"Sh3bp2",0,0,0
"Add1",0,0,0
"Mfsd10",0,0,0
"Nop14",0,0,0
"Grk4",0,NA,0
"Htt",0,0,0
"Msantd1",0,NA,0
"Rgs12",0.0167032339817751,0,0
"Hgfac",0.0877211051910652,0.0159336023040331,0
"Lrpap1",0,0,0
"Hmx1",0,NA,0
"Cpz",0,NA,0
"Trmt44",0,0,0
"Acox3",0,0,0.0156255435848731
"Htra3",0,0,0
"Sh3tc1",0,0,0
"Ablim2",0,0,0
"Afap1",0,NA,0
"Sorcs2",0,NA,0
"X2210406O10Rik",0,NA,0
"Grpel1",0,0,0.0257035090270003
"Tada2b",0,0,0
"Tbc1d14",0,0,0
"D5Ertd579e",0,0,0
"Bloc1s4",0,0,0
"Mrfap1",0,0,0
"Man2b2",0,0,0
"Wfs1",0,0,0
"Jakmip1",0,NA,0
"Evc",0,NA,0
"Evc2",0,NA,0
"Cytl1",0,0,0
"Msx1",0,NA,0
"Stx18",0,0,0
"Nsg1",0,NA,0
"Zbtb49",0,NA,0
"Lyar",0,0,0
"Tmem128",0,0,0
"Slc2a9",0,0,0
"Wdr1",0,0,0
"Zfp518b",0,NA,0
"Hs3st1",0,NA,0
"Rab28",0,0,0
"Bod1l",0,0,0
"Gm7854",0,NA,0
"Cpeb2",0,0,0
"C1qtnf7",0,NA,0
"Cc2d2a",0,0,0
"Fbxl5",0,0,0
"Bst1",0,NA,0
"Cd38",0,0,0
"Gm7879",0,NA,0
"Prom1",0,0,0
"Tapt1",0,0,0.014523401162021
"Gm42984",0,NA,0
"Ldb2",0,0,0
"Qdpr",0,0,0
"Gm42413",0,NA,0
"Lap3",0,0,0
"Med28",0,0,0
"Fam184b",0,NA,0
"Ncapg",0,NA,0
"Lcorl",0,0,0
"X5730480H06Rik",0,0,0
"Adgra3",0,0,0
"Ppargc1a",0,0,0
"Dhx15",0,0,0
"Sod3",0,0,0
"Ccdc149",0,0,0
"Sepsecs",0,0,0
"Pi4k2b",0,0,0
"Zcchc4",0,0,0
"Anapc4",0,0,0
"Slc34a2",0,NA,0
"Gm17182",0,NA,0
"Sel1l3",0,0,0
"Smim20",0,0,0
"Gm45495",0,0,0
"Rbpj",0,0,0
"Tbc1d19",0,0,0
"Stim2",0,0,0
"Pcdh7",0,NA,0
"Arap2",0,0,0
"Nwd2",0,NA,0
"X0610040J01Rik",0,0,0
"Rell1",0,0,0
"X5830416I19Rik",0,NA,0
"Pgm1",0,0,0
"Tbc1d1",0,0,0
"Klf3",0,0,0
"Tlr1",0,0,0
"Tlr6",0,NA,0
"Fam114a1",0,0,0
"Tmem156",0,NA,0
"Klhl5",0,0,0
"Wdr19",0,0,0
"Rfc1",0,0,0
"Klb",0,0,0
"Rpl9",0,0,0.0782178369106233
"Lias",0,0,0
"Ugdh",0,0,0.0429796226270115
"Smim14",0,0,0
"Ube2k",0,0,0
"Pds5a",0,0,0
"N4bp2",0,0,0
"Rhoh",0,NA,0
"X9130230L23Rik",0,NA,0
"Rbm47",0,0,0
"Gm26725",0,NA,0
"Nsun7",0,NA,0
"Apbb2",0,0,0
"Uchl1",0,NA,0
"Limch1",0,NA,0
"Gm42670",0,0,0
"Tmem33",0,0,0
"Slc30a9",0,0,0
"Bend4",0,NA,0
"Atp8a1",0,0,0
"Guf1",0,0,0
"Gnpda2",0,0,0
"Gabra2",0,NA,0
"Commd8",0,0,0
"Nfxl1",0,0,0
"Nipal1",0,0,0
"Txk",0,NA,0
"Tec",0,0,0
"Slain2",0,0,0
"Fryl",0,0,0
"Ociad1",0,0,0
"Ociad2",0,0,0
"Dcun1d4",0,0,0
"Sgcb",0,0,0
"Usp46",0,0,0
"Rasl11b",0,0,0
"Scfd2",0,0,0
"Fip1l1",0,0,0
"Lnx1",0,NA,0
"Chic2",0,0,0
"Pdgfra",0,0,0
"Kit",0,0,0.0435946390190985
"Gm43101",0,NA,0
"Kdr",0,0,0
"Srd5a3",0,0,0
"Tmem165",0,0,0
"Clock",0,0,0
"Gm7467",0,NA,0
"Exoc1",0,0,0
"Cep135",0,0,0
"Aasdh",0,0,0
"Ppat",0,0,0
"Paics",0,0,0
"Srp72",0,0,0
"Hopx",0,0,0
"Hopxos",0,NA,0
"Rest",0,0,0
"Noa1",0,0,0
"Polr2b",0,0,0
"Igfbp7",0,0,0.0118110565388812
"Cenpc1",0,0,0
"Stap1",0,0,0
"Uba6",0,0,0
"Ythdc1",0,0,0
"Ugt2b34",0,0,0.18017718996353
"Ugt2b1",0,0,0.314292016100373
"Ugt2b35",0,0,0.0572213626640975
"Ugt2b36",0,0,0.0792763582780004
"Ugt2b5",0,0,0
"Ugt2b37",0,0,0
"Ugt2a3",0,0,0.0263452091647224
"Ugt2b38",0.245690665901525,0,0
"Sult1b1",0,0,0.0266607033519118
"Sult1d1",0,0,0.0227414945191664
"Sult1e1",0,0,0
"Jchain",0,0,0
"Utp3",0,0,0
"Rufy3",0,0,0
"Grsf1",0,0,0
"Mob1b",0,0,0
"Dck",0,0,0
"Slc4a4",0,0,0.0186679444598765
"Gc",0.22079403486584,0,0
"Cox18",0,0,0
"Ankrd17",0,0,0
"Gm9958",0,NA,0
"Alb",0.670828751106114,0.0111579728104507,0
"Afp",0,0,0
"Gm43449",0,0,0
"Afm",0.0139217422357902,0,0
"X5830473C10Rik",0,0,0
"Rassf6",0,0,0
"Pf4",0,0,0
"Cxcl1",0.0264162051105447,0,0
"Cxcl2",0,0,0
"Mthfd2l",0,0,0
"Gm19619",0.0106483268225659,0,0
"Btc",0,NA,0
"Rchy1",0,0,0
"Cdkl2",0,0,0
"Gm26582",0,NA,0
"G3bp2",0,0,0
"Uso1",0,0,0
"Naaa",0,0,0
"Sdad1",0,0,0
"Cxcl9",0,0,0
"Art3",0,0,0
"Cxcl10",0,0,0
"Nup54",0,0,0
"Scarb2",0,0,0
"Fam47e",0.0266426428410522,0,0
"Stbd1",0,0,0.0287763858419947
"Ccdc158",0,NA,0
"Shroom3",0,0,0
"Sowahb",0,0,0
"Sept11",0,0,0
"Ccni",0,0,0
"X2010109A12Rik",0,0,0
"Ccng2",0,0,0.0106002439555295
"Cxcl13",0,0,0
"Cnot6l",0,0,0
"Mrpl1",0,0,0
"Fras1",0,0,0
"Gm42604",0,NA,0
"Anxa3",0,0,0
"Gm33370",0,0,0
"Gm9484",0,NA,0
"Bmp2k",0,0,0
"Paqr3",0,0,0
"Antxr2",0,0,0
"Rasgef1b",0,0,0
"Hnrnpd",0,0,0
"Gm17092",0,NA,0
"X4930524J08Rik",0,NA,0
"Hnrnpdl",0,0,0
"Enoph1",0,0,0
"X2310034O05Rik",0,0,0
"Sec31a",0,0,0
"X5430416N02Rik",0,0,0
"Lin54",0,0,0
"Cops4",0,0,0
"Plac8",0,0,0
"Coq2",0,0,0
"Hpse",0,0,0
"Helq",0,0,0
"Mrps18c",0,0,0
"Abraxas1",0,0,0
"X4930458D05Rik",0,NA,0
"Gpat3",0,0,0
"Cds1",0,NA,0
"Wdfy3",0,0,0
"Gm29707",0,NA,0
"Arhgap24",0,0,0
"Ptpn13",0,NA,0
"Aff1",0,0,0
"Klhl8",0,0,0
"Hsd17b13",0.666862299536753,0,0
"Hsd17b11",0,0,0.0555008961067463
"Nudt9",0,0,0
"Sparcl1",0,0,0
"Spp1",0.170670871619684,0,0
"Pkd2",0,0,0
"BC005561",0,0,0
"D930016D06Rik",0,0,0
"Zfp951",0,0,0
"Abcg3",0,0,0
"Gbp8",0,0,0
"Gbp9",0,0,0
"Gbp4",0,0,0
"Gbp10",0,NA,0
"Gbp6",0,0,0
"Lrrc8b",0,0,0
"Lrrc8c",0,0,0
"Lrrc8d",0,0,0
"Zfp326",0,0,0
"Gm28050",0,0,0
"Zfp644",0,0,0
"Cdc7",0,NA,0
"Tgfbr3",0,0,0.0202411910973941
"Brdt",0,0,0
"Ephx4",0,NA,0
"A830010M20Rik",0,0,0
"X1700028K03Rik",0,NA,0
"Glmn",0,0,0
"Rpap2",0,0,0
"Evi5",0,0,0
"Rpl5",0,0,0
"Fam69a",0,0,0
"Mtf2",0,0,0
"Tmed5",0,0,0
"Ccdc18",0,NA,0
"Dr1",0,0,0
"Pigg",0,0,0
"Atp5k",0,0,0
"Mfsd7a",0,0,0
"Pcgf3",0,0,0
"Gak",0,0,0
"Tmem175",0,0,0
"Dgkq",0,0,0
"Idua",0,0,0
"Slc26a1",0,0,0
"Fgfrl1",0,0,0
"Crlf2",0,0,0
"X5430403G16Rik",0,0,0
"X4930522L14Rik",0,0,0
"Gm26808",0,0,0
"Gm15446",0,0,0
"X1010001B22Rik",0,0,0
"Zfp932",0,0,0
"Gm17655",0,NA,0
"Gm35315",0,0,0
"Plcxd1",0,0,0
"Gtpbp6",0,0,0
"Zfp605",0,NA,0
"Chfr",0,0,0
"Gm43136",0,NA,0
"Golga3",0,0,0
"Gm43137",0,NA,0
"Ankle2",0,0,0
"Pgam5",0,0,0
"Gm15788",0,NA,0
"Pxmp2",0,0,0
"Pole",0,0,0
"Fbrsl1",0,0,0
"Noc4l",0,0,0
"Ddx51",0,0,0
"Gm42595",0,0,0
"Ep400",0,0,0
"Pus1",0,0,0
"Gm26515",0,0,0
"Ulk1",0.0209383001992646,0,0
"Hscb",0,0,0
"Chek2",0,0,0
"Ttc28",0,NA,0
"Pitpnb",0,0,0
"Gm43118",0,NA,0
"Mn1",0,0,0
"Cryba4",0,0,0
"Tpst2",0,0,0
"Tfip11",0,0,0
"Srrd",0,0,0
"Hps4",0,0,0
"Myo18b",0,NA,0
"Grk3",0,0,0
"Crybb3",0,0,0
"X2900026A02Rik",0,0,0
"Sgsm1",0,0,0
"Cmklr1",0,0,0
"Ficd",0,0,0
"Sart3",0,0,0
"Iscu",0,0,0
"Tmem119",0,0,0
"Selplg",0,0,0
"Coro1c",0,0,0
"Ssh1",0,0,0
"Usp30",0,0,0
"Alkbh2",0,0,0
"Ung",0,0,0
"Acacb",0,0,0
"Kctd10",0,0,0
"Ube3b",0,0,0
"Mmab",0,0,0
"Mvk",0,0,0
"Fam222a",0,0,0
"Trpv4",0,NA,0
"Gltp",0,0,0
"Tchp",0,0,0
"Git2",0,0,0
"X4930515G01Rik",0,NA,0
"Ankrd13a",0,0,0
"X1500011B03Rik",0,0,0
"X2610524H06Rik",0,0,0
"Oasl2",0,0,0
"Gm13822",0,0,0
"Oasl1",0.0167408393668002,0,0
"X2210016L21Rik",0,0,0
"Hnf1a",0,0,0
"Hnf1aos1",0,0,0.0201388600949661
"Sppl3",0,0,0
"Acads",0,0,0.0335064849290723
"Unc119b",0,0,0
"Mlec",0,0,0
"Cabp1",0,NA,0
"Pop5",0,0,0
"Rnf10",0,0,0
"Coq5",0,0,0
"Dynll1",0,0,0.0155369851726341
"Srsf9",0,0,0
"Gatc",0,0,0
"Triap1",0,0,0
"Cox6a1",0,0,0.0143492213640442
"Gm42903",0,NA,0
"Sirt4",0,0,0
"Pxn",0,0,0
"Rplp0",0,0,0.0530222285084324
"Gcn1l1",0,0,0
"X1110006O24Rik",0,0,0
"Rab35",0,0,0
"Bicdl1",0,0,0
"Cit",0,NA,0
"Prkab1",0,0,0
"Hspb8",0,0,0.0223460173600599
"Srrm4os",0,0,0
"Srrm4",0,0,0
"Suds3",0,0,0
"Taok3",0,0,0
"Pebp1",0,0,0.081690265189503
"Gm10399",0,NA,0
"Vsig10",0,0,0
"Wsb2",0,0,0
"Rfc5",0,0,0
"Gm15728",0,NA,0
"Ksr2",0,NA,0
"Fbxo21",0,0,0.0340235201651013
"Tesc",0,0,0
"Fbxw8",0,0,0.0189392243433946
"Gm9754",0,NA,0
"Hrk",0,NA,0
"X2410131K14Rik",0,0,0
"Med13l",0,0,0
"Tbx3os1",0,0,0.0594298899040264
"Gm16063",0,NA,0
"Tbx3",0,0,0.176298024907996
"Rbm19",0,0,0
"Sdsl",0.0595072703821474,0,0
"Sds",0.690777938639928,0,0
"Gm15690",0,NA,0
"Plbd2",0,0,0
"Slc8b1",0,0,0
"Tpcn1",0,0,0
"Iqcd",0,NA,0
"Rita1",0,0,0
"Ddx54",0,0,0
"Dtx1",0,NA,0
"Oas2",0,0,0
"Oas3",0,0,0
"Oas1c",0,0,0
"Oas1g",0,0,0
"Oas1a",0,0,0
"Ptpn11",0,0,0
"Rpl6",0,0,0.024938044501095
"Hectd4",0,0,0
"Trafd1",0,0,0
"Gm42918",0,NA,0
"Naa25",0,0,0
"Erp29",0,0,0
"Tmem116",0,NA,0
"Mapkapk5",0,0,0
"Aldh2",0,0,0.530596201484683
"Acad12",0,0,0
"Acad10",0,0,0
"Brap",0,0,0
"Atxn2",0,0,0
"Sh2b3",0,0,0
"Fam109a",0,0,0
"Cux2",0,NA,0
"Ppp1cc",0,0,0
"Hvcn1",0,NA,0
"Tctn1",0,0,0
"Pptc7",0,0,0
"Rad9b",0,NA,0
"Vps29",0,0,0
"Fam216a",0,0,0
"Gpn3",0,0,0
"Arpc3",0,0,0
"Anapc7",0,0,0
"Atp2a2",0,0,0
"Ift81",0,0,0
"P2rx7",0,0,0
"P2rx4",0,0,0
"Camkk2",0,0,0
"Anapc5",0,0,0
"Rnf34",0,0,0
"Kdm2b",0,0,0
"A930024E05Rik",0,NA,0
"Orai1",0,0,0
"Tmem120b",0,0,0
"Rhof",0,0,0
"AI480526",0,0,0
"X4932422M17Rik",0,0,0
"Setd1b",0,0,0
"Psmd9",0,0,0
"Hpd",0,0,0.543036528563914
"Wdr66",0,0,0
"Gm15860",0,0,0
"Bcl7a",0,0,0
"Mlxip",0,0,0
"Diablo",0,0,0
"Vps33a",0,0,0
"Clip1",0,0,0
"Zcchc8",0,0,0
"Rsrc2",0,0,0
"Kntc1",0,NA,0
"Hcar2",0,NA,0
"Denr",0,0,0
"Ccdc62",0,0,0
"Hip1r",0,0,0.0290564045357625
"Vps37b",0,0,0
"Abcb9",0,0,0
"Ogfod2",0,0,0.0115923519886103
"Arl6ip4",0,0,0
"Pitpnm2",0,0,0
"Mphosph9",0,0,0
"X2810006K23Rik",0,0,0
"Cdk2ap1",0,0,0
"Sbno1",0,0,0
"Kmt5a",0,0,0
"Rilpl2",0,0,0
"Snrnp35",0,0,0
"Rilpl1",0,0,0
"Tmed2",0,0,0
"Ddx55",0,0,0
"Eif2b1",0,0,0
"Gtf2h3",0,0,0
"Atp6v0a2",0,0,0
"Ccdc92",0,NA,0
"Zfp664",0,0,0
"Rflna",0,NA,0
"Ncor2",0,0,0
"Scarb1",0,0,0
"Ubc",0,0,0.0217637678778576
"Gm10382",0,NA,0
"Dhx37",0,0,0
"Bri3bp",0,0,0
"Aacs",0,0,0
"Slc15a4",0,0,0
"Glt1d1",0,0,0.0217420311512849
"Stx2",0,0,0
"Ran",0,0,0.0405042640272435
"Adgrd1",0,NA,0
"Sfswap",0,0,0
"Mmp17",0,NA,0
"Zfp11",0,0,0
"Mrps17",0,0,0
"Nipsnap2",0,0,0
"Psph",0,0,0
"Sumf2",0,0,0
"Chchd2",0,0,0.071935571027138
"Zbed5",0,0,0
"Nupr1l",0,0,0
"Vkorc1l1",0,0,0
"Gusb",0,0,0
"Asl",0.287715780653917,0,0
"Crcp",0,0,0
"Tpst1",0,0,0
"Kctd7",0,0,0
"Rabgef1",0,0,0
"Tmem248",0,0,0
"Gm6598",0,0,0
"Sbds",0,0,0
"Tyw1",0,0,0
"Caln1",0,0,0
